ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,spotify
157,Act Too (Love of My Life),The Roots,1999,male,6,1,0,0,1,0,0,0WFS2dD69nOF7UQOlC0uyE
158,America’s Most Blunted,Madvillain,2004,male,6,1,0,0,1,0,0,4BtGch9Jl7HIehy9dK9UzR
159,Atrevido,Orishas,2000,male,6,1,0,0,1,0,0,N/A
160,Bonita Applebum,A Tribe Called Quest,1990,male,6,1,0,0,1,0,0,5N5fp1lYSORdZbWanACki9
161,Bout It Bout It,Master P,1996,male,6,1,0,0,1,0,0,362ychdHc0vMXhUE50PuoN
162,Can’t Knock The Hustle,JAY-Z,1996,male,6,1,0,0,1,0,0,05Iawel3maRW3mSHYmXxMZ
163,Cartoons & Cereal,Kendrick Lamar ft. Gunplay,2012,male,6,1,0,0,1,0,0,31Yebmn7gDvxc0yjRV8M5t
164,Children’s Story,Slick Rick,1999,male,6,1,0,0,1,0,0,15HgR9Ht4obJOcMG4wregp
165,Da Art Of Storytellin’,OutKast,1999,male,6,1,0,0,1,0,0,1KQymTxNJfWk6vCD5ywKW2
166,Dr Aden,BOB,2011,male,6,1,0,0,1,0,0,49OUxGo0yTjKf7gx7qV84P
167,Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,1995,male,6,1,0,0,1,0,0,53oWwSxPuyH2cjYKXH8fgO
168,Get The Bozack,EPMD,1989,male,6,1,0,0,1,0,0,70Nz4Fjf3Ia2CBO3CdcSJI
169,God Lives Through,A Tribe Called Quest,1993,male,6,1,0,0,1,0,0,3l30bDO9Kn2XJ9H2azq5PY
170,Hahahaha jk?,Das Racist,2010,male,6,1,0,0,1,0,0,0QNfTRA4IlRfGXO1i4cyfP
171,Hard In Da Paint,Waka Flocka Flame,2009,male,6,1,0,0,1,0,0,3XQY8kDjI8LARMIC9xkxQk
172,I Gave You Power,Nas,1996,male,6,1,0,0,1,0,0,4dSLfdnCy43DPJiqpoZoKe
173,Just A Moment,Nas ft. Quan,2005,male,6,1,0,0,1,0,0,69LI5JYpdxNck1NJc8rqAu
174,Know The Ledge,Eric B & Rakim,1992,male,6,1,0,0,1,0,0,0InwTyum9iasoG9ajmJWg7
175,Learned from Texas,BIG K.R.I.T,2019,male,6,1,0,0,1,0,0,6E1xeGoNLB0XWt5NnHVXvM
176,Livin’ It Up,Ja Rule ft. Case,2001,male,6,1,0,0,1,0,0,52gqeRlrBE7hqMlRxEsi6y
177,Love Is…,Common,2005,male,6,1,0,0,1,0,0,1NrUc0f7QZBYqgjj6ExNMG
178,Lyrics Of Fury,Eric B & Rakim,1988,male,6,1,0,0,1,0,0,6jt8xuXd424y78MrNMNpvS
179,Mask Off,Future,2017,male,6,1,0,0,1,0,0,0VgkVdmE4gld66l8iyGjgx
180,Mass Appeal,Gang Starr,1994,male,6,1,0,0,1,0,0,3lGBvPUgO7MJltUnBlOpe9
181,Mic Check,Aceyalone,1995,male,6,1,0,0,1,0,0,N/A
182,Mo(u)rning,Akua Naru,2012,female,6,1,0,0,1,0,0,08Q4tRu6tlIr7faweTQojP
183,No Church in the Wild,JAY-Z & Kanye West,2011,male,6,1,0,0,1,0,0,3Osd3Yf8K73aj4ySn6LrvK
184,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,2019,male,6,1,0,0,1,0,0,0F7FA14euOIX8KcbEturGH
185,OVERSEAS,Bohan Phoenix,2018,male,6,1,0,0,1,0,0,0YnBTNxBcCpT9lw0Si2ICs
186,Paper Planes,M.I.A.,2008,female,6,1,0,0,1,0,0,1kusepF3AacIEtUTYrw4GV
187,Peter Piper,Run DMC,1986,male,6,1,0,0,1,0,0,5gsY63Dq5ht0LEvydhj9lA
188,PRIDE,Kendrick Lamar,2017,male,6,1,0,0,1,0,0,6IZvVAP7VPPnsGX6bvgkqg
189,Push It,Salt-N-Pepa,1986,female,6,1,0,0,1,0,0,6sT9MWlJManry3EQwf4V80
190,Put It On,Big L,1995,male,6,1,0,0,1,0,0,6JI5wNWYdBw68GZjOMmgK5
191,Queen Bitch,Lil’ Kim,1996,female,6,1,0,0,1,0,0,1LFqcpp3k7r9nHBH7Lsos4
192,Self Control,Frank Ocean,2016,male,6,1,0,0,1,0,0,5GUYJTQap5F3RDQiCOJhrS
193,Still Tippin’,Mike Jones,2004,male,6,1,0,0,1,0,0,59rtiYOPgMEDf3yPEfU2la
194,Sub City,Stogie T,2016,male,6,1,0,0,1,0,0,2ig1HHcWAI4foVHcFScUSC
195,Swimming Pools (Drank),Kendrick Lamar,2012,male,6,1,0,0,1,0,0,6REbwUNlppTfcnV4d4ZoZi
196,The Blacker The Berry,Kendrick Lamar,2015,male,6,1,0,0,1,0,0,5Mtt6tZSZA9cXTHGSGpyh0
197,The Story Of OJ,JAY-Z,2017,male,6,1,0,0,1,0,0,6JpN5w95em8SODPiM7W2PH
198,Trap Beldi,Issam,2018,male,6,1,0,0,1,0,0,5JIGmdJjGKukNFJzPnWRUQ
199,Verbal Intercourse,Raekwon ft. Ghostface Killah and Nas,1995,male,6,1,0,0,1,0,0,1kHPOtD1fo3kWOgcs0oisd
200,Vicious Rap,Tanya ‘Sweet Tee’ Winley,1980,female,6,1,0,0,1,0,0,7qrwl5QZ5ZKxGLsBw1WPAT
201,What About Me,Lil Boosie,2007,male,6,1,0,0,1,0,0,0OlnSESRYugVSEEJhWnP6M
202,Worst Behavior,Drake,2013,male,6,1,0,0,1,0,0,48RN2EOOyG2Gs5Pyla7ZJj
203,You Got Me,The Roots ft. Erykah Badu,1999,mixed,6,1,0,0,1,0,0,4pdLZsxq0y5oJDb6Cxlokw
204,Mona Lisa,Slick Rick,1988,male,4,2,0,0,0,0,2,5JV45IebgbfO3EylYV49rl
205,Witness (1 Hope),Roots Manuva,2001,male,4,2,0,0,0,0,2,5KLcIahbdBJeZ8tHAyYMpN
206,1 Train,ASAP Rocky,2013,male,4,1,0,0,0,1,0,1eLU27PPFxBhbp1CBjPh9J
207,Ambitionz Az A Ridah,2Pac,1996,male,4,1,0,0,0,1,0,20fBuVybkHgjF6vNhSMROD
208,Award Tour,A Tribe Called Quest,1993,male,4,1,0,0,0,1,0,5YTM7OgQDt9EJAYcfHLniJ
209,Baby Got Back,Sir Mix-A-Lot,1992,male,4,1,0,0,0,1,0,1SAkL1mYNJlaqnBQxVZrRl
210,Bastard,Tyler The Creator,2009,male,4,1,0,0,0,1,0,7gza9mETipz1YWiN7tOedL
211,Black Ice,Goodie Mob ft. OutKast,1998,male,4,1,0,0,0,1,0,0Uu8BPsWQGZk5AiRN3uBwn
212,Boyz-n-the-Hood,Eazy-E,1988,male,4,1,0,0,0,1,0,5RGXoZt1qxmAErdhbyKJKq
213,Can I Kick It,A Tribe Called Quest,1990,male,4,1,0,0,0,1,0,3Ti0GdlrotgwsAVBBugv0I
214,Can I Live,JAY-Z,1996,male,4,1,0,0,0,1,0,20U1I32q6kX0Nmy4u8CvUg
215,Feelin’ Myself,Mac Dre,2004,male,4,1,0,0,0,1,0,6SahMe6Q2BqUfnDQ2P9Xea
216,Fight Da Faida,Frankie HI-NRG MC,1993,male,4,1,0,0,0,1,0,0nm1oTKwUhXyQ9by2NMMf2
217,Get By,Talib Kweli,2002,male,4,1,0,0,0,1,0,1LM6EReMkAxuDXDF26ekl2
218,Goosebumps,Travis Scott ft. Kendrick Lamar,2016,male,4,1,0,0,0,1,0,6gBFPUFcJLzWGx4lenP6h2
219,Gossip,Lil Wayne,2007,male,4,1,0,0,0,1,0,3CPv7I34sxQq3HBlZZfOoe
220,Grief,Earl Sweatshirt,2015,male,4,1,0,0,0,1,0,47A4a2ZxJaZz5nBME2HtXs
221,Ha,Juvenile,2008,male,4,1,0,0,0,1,0,3b0dX6Q2lxp7OX5lFt0nba
222,Have a Nice Day,Roxanne Shante,1989,female,4,1,0,0,0,1,0,4cXNDNvs5I1UL0BYpXC9W4
223,Hold You Down,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,2004,mixed,4,1,0,0,0,1,0,3EyNj8ps0rYIAF4xIpFCjc
224,Hovi Baby,JAY-Z,2002,male,4,1,0,0,0,1,0,1OXEEStQRZJ6fhcz2gL0eJ
225,I Like That,Janelle Monae,2018,female,4,1,0,0,0,1,0,2EznBGrlmx9wBeYgyDojsA
226,I Luv U,Dizzee Rascal,2003,male,4,1,0,0,0,1,0,2L63rYvBtfdwoYTQaJC7gH
227,I Used To Love Him,Lauryn Hill ft. Mary J Blige,1998,female,4,1,0,0,0,1,0,3IRdgbdqDcmJBIa6TY2mKX
228,I Wonder,Kanye West,2007,male,4,1,0,0,0,1,0,4jQqM4NI79HEcWHUJb8Hvf
229,I've Seen Footage,Death Grips,2012,male,4,1,0,0,0,1,0,7nCONy10IHp7XD3oYZ0lcx
230,It’s All About The Benjamins (Remix),Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,1997,mixed,4,1,0,0,0,1,0,3GMR3hyv8BccozoebVMve3
231,Keep It On The Real,3X Krazy,1997,male,4,1,0,0,0,1,0,3nNoJOl9SckVH4abDYx2cy
232,Kyoto,Yung Lean,2013,male,4,1,0,0,0,1,0,2djY65hifu2a4R2WqcXqKL
233,La Di Da Di,Doug E Fresh & The Get Fresh Crew,1985,male,4,1,0,0,0,1,0,0WYu233HGAjMAu9UK5iHtS
234,La La La,Lil Wayne,2007,male,4,1,0,0,0,1,0,3UO64VZNLPRhfVJ20curR4
235,Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,2002,mixed,4,1,0,0,0,1,0,0ieS2bue78yadTdPiyzsaO
236,Love Yourz,J Cole,2014,male,4,1,0,0,0,1,0,4gkl7QbQvBd3TM9PhlWFkI
237,My Name Is,Eminem,1999,male,4,1,0,0,0,1,0,75IN3CtuZwTHTnZvYM4qnJ
238,Oh Yeah,Foxy Brown,2001,female,4,1,0,0,0,1,0,2mSLhpYdxyeKUeiSwdtS6E
239,Ojuelegba (Remix),Wizkid ft. Drake & Skepta,2015,male,4,1,0,0,0,1,0,6cTLhp8a39TClL2iqGpPVc
240,One Day,UGK,1996,male,4,1,0,0,0,1,0,2GHp47AE8HTBF9xpG7FIoz
241,Play That Beat Mr DJ,GLOBE & Whiz Kid,2001,male,4,1,0,0,0,1,0,7xYQZ8WJcmeCfcjf3RLSyA
242,Puppet Master,Dr Dre ft. B-Real,1997,male,4,1,0,0,0,1,0,1W18uInCbi25TXyv3jXnoW
243,Quiet Storm (Remix ft. Lil Kim),Mobb Deep,1999,male,4,1,0,0,0,1,0,6nwAubYnLGl7F7cDuOoVLp
244,Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,1999,mixed,4,1,0,0,0,1,0,47w8ZDr5nBClBgMS92FBDQ
245,Renegade,JAY-Z ft. Eminem,2001,male,4,1,0,0,0,1,0,5ASZFbCod633wLragmPYTj
246,Respiration,Black Star ft. Common,1998,male,4,1,0,0,0,1,0,5mxVKAuunOKqcBfR5ivbRf
247,Sim Dope,AKA,2014,male,4,1,0,0,0,1,0,365vtOmWoK3ZEnRWrdU3KN
248,Sippin On Some Syrup,Three 6 Mafia ft. UGK,2000,male,4,1,0,0,0,1,0,2EduiM2UNwjCC7PsLxnOCH
249,Sky’s The Limit,The Notorious B.I.G ft. 112,1997,male,4,1,0,0,0,1,0,0xdYzkbBBfTevSyOJqWUSX
250,Slow It Down,Little Brother,2005,male,4,1,0,0,0,1,0,2CDnjjOWh18YG3LXsgvSLG
251,So What’cha Want,Beastie Boys,1992,male,4,1,0,0,0,1,0,25pl7kV4OxafIc9wPAggYf
252,Sock It 2 Me,Missy Elliott ft. Da Brat,1997,female,4,1,0,0,0,1,0,08bn759cPYICtUPoYx29P0
253,Swangin’ and Bangin',E.S.G.,1993,male,4,1,0,0,0,1,0,5Ob4c2kpk95aQ05PhtiYj7
254,Tha Crossroads,Bone Thugs-N-Harmony,1996,male,4,1,0,0,0,1,0,5KSJ9k1FYjFLnIRlJT2wF8
255,Tried by 12,East Flatbush Project,1996,male,4,1,0,0,0,1,0,6NNaM2ltdwxcCc6MuR94zO
256,Who Am I (What’s My Name)?,Snoop Dogg,1993,male,4,1,0,0,0,1,0,12CdB878c6n94tTlNfPcCv
257,All Caps,Madvillain,2004,male,2,1,0,0,0,0,1,1Y2ExJJ9Dmb9po8K0ybSj3
258,All Falls Down,Kanye West ft. Syleena Johnson,2004,mixed,2,1,0,0,0,0,1,5SkRLpaGtvYPhw02vZhQQ9
259,B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,1995,male,2,1,0,0,0,0,1,5mOzvm41Pdh1WOtBKlCtZd
260,Bible On The Dash,Gunplay,2012,male,2,1,0,0,0,0,1,0ymMvHAozg5LuIhqj8tVb3
261,Big Pimpin',JAY-Z ft. UGK,1999,male,2,1,0,0,0,0,1,7m97yKVzPpXV9Z4ezEziOD
262,Bitch Don’t Kill My Vibe,Kendrick Lamar,2012,male,2,1,0,0,0,0,1,712uvW1Vezq8WpQi38v2L9
263,Clear Blue Skies,Juggaknots,1996,mixed,2,1,0,0,0,0,1,1zA1vA6xf8VyzHCSu8wAve
264,Concrete Schoolyard,Jurassic 5,1998,male,2,1,0,0,0,0,1,0dtVSZDRv6PorrnX0cbFT7
265,Da Art of Storytellin’ (Pt. 2),OutKast,1998,male,2,1,0,0,0,0,1,2vjgepbkQg5jH8ujrKEOin
266,Da Mystery Of Chessboxin',Wu-Tan Clan,1993,male,2,1,0,0,0,0,1,4xOTVtbCPcfxMs2hSt9D6i
267,Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,1998,male,2,1,0,0,0,0,1,6dLujFTBvLRnr8zPMMVUJg
268,Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,2003,male,2,1,0,0,0,0,1,3rvM0obwHthpskrZKQxYLa
269,DNA,Kendrick Lamar,2017,male,2,1,0,0,0,0,1,6HZILIRieu8S0iqY8kIKhj
270,Fuck Tha World,Lil Wayne,1999,male,2,1,0,0,0,0,1,7e7YCETIA8xoF9IlWR64Xz
271,Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,1993,male,2,1,0,0,0,0,1,04fX3oTJm5Zucg3Uf9aix0
272,God’s Plan,Drake,2018,male,2,1,0,0,0,0,1,6DCZcSspjsKoFjzjrWoCdn
273,Gold Digger,Kanye West ft. Jamie Foxx,2005,male,2,1,0,0,0,0,1,1PS1QMdUqOal0ai3Gt7sDQ
274,Gucci Gucci,Kreayshawn,2011,female,2,1,0,0,0,0,1,1ea97AUSazu2QZw9BnHJqK
275,Heart Of The City (Ain’t No Love),JAY-Z,2001,male,2,1,0,0,0,0,1,6gpZSI0xEMTzleBc5ykOVA
276,HYFR,Drake ft. Lil Wayne,2011,male,2,1,0,0,0,0,1,0m1KYWlT6LhFRBDVq9UNx4
277,I Used To Love H.E.R.,Common,1994,male,2,1,0,0,0,0,1,4TboAbE2pCUUB0fk6Q9rUU
278,Insane In The Brain,Cypress Hill,1993,male,2,1,0,0,0,0,1,1oTHteQbmJw15rPxPVXUTv
279,It Was A Good Day (B-Side Remix version),Ice Cube,1994,male,2,1,0,0,0,0,1,0MkJmjfBR4JZg0LcadprWL
280,It’s Your World (Part 1 & 2),Common,2005,male,2,1,0,0,0,0,1,6lXGIJbyM4YBjK6CzIce25
281,L'Americano,Akhenaton,1995,male,2,1,0,0,0,0,1,5Z38oEZdU5Znabb3gTqSew
282,Look At Me!,XXXTENTACION,2015,male,2,1,0,0,0,0,1,7floNISpH8VF4z4459Qo18
283,Looking At The Front Door,Main Source,1990,male,2,1,0,0,0,0,1,4usfXMswVpCtsSfJwl6LjH
284,Lost In The World,Kanye West ft. Bon Iver,2010,male,2,1,0,0,0,0,1,2Im64pIz6m0EJKdUe6eZ8r
285,Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,2014,mixed,2,1,0,0,0,0,1,6ft8Ua2fHCpns3b3UoX691
286,Love Sosa,Chief Keef,2012,male,2,1,0,0,0,0,1,4IowQDUOzUvNtp72HMDcKO
287,March Madness,Future,2015,male,2,1,0,0,0,0,1,6hVGw7yVUd2bpdHMPCWrtN
288,Mortal Man,Kendrick Lamar,2015,male,2,1,0,0,0,0,1,1WT11QmhZutciEv1NsHt1R
289,Mtaktak,Shabjdeed & Al Nather,2019,male,2,1,0,0,0,0,1,1noMAtMiCtrTVFu5K3tXPg
290,Ngqangqa,Kanyi,2017,female,2,1,0,0,0,0,1,N/A
291,Nice For What,Drake,2018,male,2,1,0,0,0,0,1,3CA9pLiwRIGtUBiMjbZmRw
292,No Diggity,Blackstreet ft. Dr Dre and Queen Pen,1996,mixed,2,1,0,0,0,0,1,6MdqqkQ8sSC0WB4i8PyRuQ
293,O.P.P.,Naughty By Nature,1991,male,2,1,0,0,0,0,1,3voxsfqnGr9V74jkkzPhXC
294,Pacifier,Young Thug,2015,male,2,1,0,0,0,0,1,3IyXIG8MURGOFR9Kp5EPvG
295,Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,1987,male,2,1,0,0,0,0,1,20s3FayrStM8GY0m4dRFsw
296,Pass That Dutch,Missy Elliott,2003,female,2,1,0,0,0,0,1,1MaI6NwdrqnE3mRzOYTpoo
297,Realer,Megan Thee Stallion,2019,female,2,1,0,0,0,0,1,3qVNNJ7f9RQeNR4iPIeS0c
298,Regrets,JAY-Z,1996,male,2,1,0,0,0,0,1,2G5VfBhThZMgDXHBh6EHah
299,Rock Wit U,Joe ft. G-Unit,2003,male,2,1,0,0,0,0,1,N/A
300,Root Down,Beastie Boys,1994,male,2,1,0,0,0,0,1,1HkQduCToeLuMH4lg0DT2z
301,Scotty,D4L,2005,male,2,1,0,0,0,0,1,6a0GRBATlIq4SRbBOPOA8V
302,Shinjitsu No Dangan,King Giddra,1995,male,2,1,0,0,0,0,1,N/A
303,Shoop,Salt-N-Pepa,1993,female,2,1,0,0,0,0,1,0Pu71wxadDlB8fJXfjIjeJ
304,Still Fly,Big Tymers,2002,male,2,1,0,0,0,0,1,563vSy3HB5NHxel1VGQCW6
305,The Breaks,Kurtis Blow,1980,male,2,1,0,0,0,0,1,5TvcggVu3s2P1fMAS8BupX
306,Throw Some D’s,Rich Boy,2007,male,2,1,0,0,0,0,1,6SmPPtaMnfxgz5duA6t9Cu
307,Time’s Up,O.C.,1994,male,2,1,0,0,0,0,1,3kCeMR9l6jNQCt8jWHCy2B
308,Turn On The Lights,Future,2012,male,2,1,0,0,0,0,1,4U8hMes3PqpsLJBeMXD71p
309,Warning,The Notorious B.I.G.,1994,male,2,1,0,0,0,0,1,33rsCCLHklTQav9klbpnAi
310,Who Dat,J.T. Money ft. Solé,1999,mixed,2,1,0,0,0,0,1,2rbb3lOMI71NIMbJCS1wQQ
311,Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,2006,male,2,1,0,0,0,0,1,6D1CstH1YvzNN8cPd9ay9Q
